@RELATION comunicabilidade_dados

@ATTRIBUTE Qtd_atividades NUMERIC
@ATTRIBUTE Tempo_gasto NUMERIC
@ATTRIBUTE Qtd_etiquetas NUMERIC
@ATTRIBUTE Num_ajudas NUMERIC
@ATTRIBUTE Qtd_erros NUMERIC
@ATTRIBUTE comunicabilidade {baixa, media, alta}

@DATA
3,121,9,7,10,baixa
8,397,1,3,1,alta
8,375,3,2,6,media
6,242,4,4,6,media
10,307,4,4,1,media
10,302,2,4,1,alta
9,368,3,5,6,media
9,392,5,5,6,media
6,227,1,1,2,media
1,118,7,6,12,media
8,321,5,1,3,alta
1,105,9,9,14,baixa
10,317,2,5,3,media
1,180,9,9,13,baixa
6,248,3,4,6,media
8,303,1,1,5,alta
10,303,2,2,4,alta
7,260,2,4,5,media
7,272,3,4,4,media
1,135,11,7,12,baixa
4,271,7,6,10,media
8,335,4,5,4,media
8,337,3,3,2,alta
9,325,1,1,6,alta
1,190,8,10,14,baixa
8,348,6,3,2,media
7,208,6,1,7,media
6,211,4,2,7,media
8,367,2,4,4,alta
10,335,4,2,3,alta
9,313,2,1,1,alta
10,302,6,1,7,media
10,381,5,2,1,alta
1,109,10,10,10,baixa
10,336,5,1,1,alta
10,337,4,4,4,alta
1,133,10,8,14,baixa
1,159,10,7,12,baixa
4,258,10,9,9,media
10,394,4,5,1,media
8,367,5,4,7,media
2,142,9,9,13,baixa
10,323,6,4,5,media
1,155,10,9,10,baixa
10,307,5,2,4,alta
10,331,4,5,7,media
7,260,6,2,3,media
7,261,5,1,5,media
10,380,2,2,7,alta
9,305,4,5,7,media
8,361,2,2,6,alta
10,316,2,3,4,alta
9,321,2,5,4,alta
3,195,11,8,10,baixa
7,258,4,3,4,media
8,358,6,2,6,media
4,258,10,7,11,media
7,218,6,5,3,media
1,192,7,6,10,media
10,307,4,4,6,media
7,287,1,3,6,media
3,197,9,10,10,baixa
1,185,11,7,11,baixa
9,376,5,3,3,alta
9,394,1,1,5,alta
2,135,8,9,13,baixa
8,308,2,1,7,alta
10,310,6,4,6,media
8,382,6,5,3,media
6,273,6,1,2,media
9,370,1,1,2,alta
2,171,9,10,14,baixa
8,375,1,3,1,alta
6,259,4,3,5,media
6,260,3,1,2,media
10,396,4,2,1,alta
8,309,6,4,3,media
8,343,4,5,5,media
8,378,2,2,4,alta
9,332,6,3,1,alta
10,378,3,4,6,media
10,359,4,1,5,alta
4,297,8,6,11,media
3,184,10,9,15,baixa
6,271,2,5,6,media
7,211,1,5,3,media
3,165,11,6,12,baixa
5,270,11,10,13,baixa
9,363,2,1,5,alta
8,367,6,1,6,media
1,198,10,6,14,baixa
10,391,3,1,2,alta
6,260,2,3,2,media
7,272,3,5,5,media
6,211,2,4,1,media
9,380,6,1,7,media
6,274,3,4,6,media
8,375,1,2,3,alta
3,126,9,10,12,baixa
10,323,4,3,7,alta
1,120,7,9,14,baixa
8,301,4,2,2,alta
7,278,6,3,4,media
10,356,4,1,6,alta
7,260,5,5,3,media
9,370,6,5,7,media
10,361,5,2,4,alta
2,166,11,9,15,baixa
4,233,10,9,12,baixa
10,344,4,2,1,alta
10,369,6,5,6,media
10,354,2,3,4,alta
1,178,11,8,15,baixa
9,313,2,3,6,alta
10,394,4,5,7,media
8,383,6,5,6,media
3,194,8,8,10,media
9,368,1,2,7,alta
7,225,5,3,5,media
8,382,3,1,5,alta
8,389,5,3,2,alta
4,260,7,7,12,media
6,233,4,4,5,media
10,379,5,1,2,alta
8,382,3,4,4,alta
6,293,5,3,3,media
1,126,10,10,14,baixa
8,365,5,3,6,media
9,376,4,3,2,alta
10,369,1,4,1,alta
10,332,6,1,5,alta
3,121,9,9,13,baixa
9,343,3,5,4,media
10,334,3,4,6,alta
6,211,4,2,5,media
1,149,11,9,10,baixa
9,321,5,3,1,alta
6,212,5,1,7,media
8,311,6,5,6,media
10,344,5,1,5,alta
1,164,11,10,13,baixa
7,276,6,1,1,media
10,317,4,4,2,alta
6,243,6,1,3,media
6,227,1,4,1,media
8,302,5,1,1,alta
10,361,4,3,2,alta
10,302,2,4,1,alta
8,380,4,1,5,alta
8,375,5,4,7,media
8,378,5,2,4,alta
6,281,2,2,3,media
7,208,6,5,4,media
10,390,2,4,2,alta
6,271,5,5,3,media
7,211,6,3,3,media
2,134,8,8,9,media
6,234,4,3,1,media
9,384,1,4,6,alta
7,224,1,3,5,media
3,111,10,9,10,baixa
7,249,5,1,3,media
8,380,1,1,2,alta
6,293,5,2,7,media
10,394,4,1,5,alta
